votes_1994,turnout_1994,turnout_2000,pri_1994_votes,pri_2000_share,pan_1994_votes,pan_2000_share,prd_1994_votes,prd_2000_share,intent_to_treat,early_progresa,poverty,population,share_eligible,num_villages
145,0.6344926357269287,0.71856290102005,111,0.56886225938797,1,0.005988024175167084,8,0.11976047605276108,1,1,5,533,1,3
212,0.4222157299518585,0.6583071947097778,49,0.17868338525295258,0,0.006269592326134443,136,0.46081504225730896,0,0.7614678740501404,5,1080,1,12
71,0.5760281085968018,0.6122449040412903,55,0.4897959232330322,1,0.051020409911870956,7,0.0714285746216774,1,1,5,272,1,2
487,0.6823464632034302,0.570135772228241,265,0.3212669789791107,2,0.006033182609826326,190,0.21417798101902008,1,1,5,1534,1,1
85,0.47969380021095276,0.47560974955558777,52,0.3048780560493469,2,0.024390242993831635,8,0.12804877758026123,1,1,5,349,1,3
87,0.4681839644908905,0.4637681245803833,68,0.4057970941066742,0,0.007246376946568489,0,0.028985507786273956,1,0.8536585569381714,5,383,1,4
75,0.7820432186126709,0.6186440587043762,66,0.5169491767883301,1,0.033898305147886276,1,0.008474576286971569,1,1,5,217,1,1
145,0.5410928726196289,0.7107142806053162,105,0.6428571343421936,0,0.0035714285913854837,10,0.02857142873108387,1,1,5,667,1,2
135,0.6056455969810486,0.5580524206161499,102,0.4082396924495697,3,0.02247191034257412,23,0.12734082341194153,1,1,5,541,1,4
386,0.23814430832862854,0.3122093081474304,245,0.22441861033439636,18,0.011627906933426857,14,0.0651162788271904,1,1,5,3289,1,2
141,0.21661314368247986,0.47022899985313416,52,0.3893129825592041,8,0.030534351244568825,4,0.018320610746741295,1,1,4.5,1320,1,2
80,0.40223661065101624,0.4502164423465729,58,0.31168830394744873,6,0.06060606241226196,7,0.05627705529332161,1,1,5,384,1,1
69,0.4639188349246979,1,30,0.7692307829856873,0,0.025641025975346565,38,0.1666666716337204,0,0,5,307,1,1
247,0.633318305015564,0.3738532066345215,128,0.23853211104869843,0,0.004587155766785145,20,0.11926605552434921,0,0.6184210777282715,5,840,1,6
109,0.28485095500946045,0.6487455368041992,47,0.47311827540397644,8,0.032258063554763794,9,0.10035842657089233,1,1,5,790,1,1
186,0.6164225935935974,0.5806451439857483,30,0.21407625079154968,1,0.008797653950750828,99,0.32844576239585876,1,0.9577465057373047,5,632,1,2
314,2.0417184829711914,0.7129629850387573,274,0.5648148059844971,0,0,30,0.06481481343507767,1,1,5,356,1,2
103,0.5124710202217102,0.5117371082305908,81,0.3661971688270569,4,0.014084506779909134,14,0.13145539164543152,1,1,5,435,1,2
587,0.921535313129425,0.5726743936538696,160,0.1705426424741745,4,0.00872093066573143,352,0.3682170510292053,1,1,5,1423,1,9
425,0.33052873611450195,0.3131381869316101,208,0.1218516007065773,9,0.00748808728531003,202,0.17358747124671936,1,0.6041666865348816,4.833333492279053,2949,1,8
168,0.20666153728961945,0.18901453912258148,137,0.1042003259062767,0,0.009693053551018238,26,0.07189014554023743,0,0.75,5,1762,1,8
58,0.22623465955257416,0.4901960790157318,56,0.30588236451148987,0,0.003921568859368563,2,0.15294118225574493,0,0,5,561,1,1
75,0.4860992729663849,0.5874125957489014,65,0.503496527671814,1,0.0419580414891243,9,0.03496503457427025,1,1,5,328,1,1
168,0.39842313528060913,0.726141095161438,0,0.26141080260276794,0,0.006224066484719515,0,0.4273858964443207,1,1,5,888,1,6
126,0.5559122562408447,0.6318408250808716,121,0.42786070704460144,1,0.08955223858356476,2,0.09452736377716064,1,0,4.5,460,1,2
165,0.6365107297897339,0.6132404208183289,147,0.5017421841621399,6,0.017421603202819824,6,0.08362369239330292,1,1,5,616,1,1
188,0.7521852850914001,0.8700787425041199,180,0.6496062874794006,0,0.027559055015444756,7,0.07874015718698502,0,0,5,538,1,2
325,0.8563637137413025,0.4436229169368744,159,0.292051762342453,1,0.00554528646171093,152,0.13493530452251434,0,0.9145299196243286,5,804,1,3
149,0.7633359432220459,0.5914893746376038,78,0.4723404347896576,3,0.01702127605676651,48,0.025531914085149765,0,0.46296295523643494,5,444,1,2
38,0.5996677875518799,1,31,0.875,3,0.01785714365541935,4,0.125,1,1,5,172,1,1
390,0.8282275199890137,0.9479553699493408,188,0.44609665870666504,51,0.10780669003725052,102,0.3773234188556671,0,0.7120419144630432,5,969,1,9
93,1,1,57,0.4722222089767456,0,0.2083333283662796,16,0.7083333134651184,0,0,5,241,1,2
433,0.6025059223175049,0.5987558364868164,253,0.46811819076538086,23,0.05443234741687775,38,0.04199066758155823,0,0.6871165633201599,4.285714149475098,1311,0.8062547445297241,7
545,0.5487205982208252,0.6991758346557617,387,0.4436813294887543,69,0.1675824224948883,19,0.04395604506134987,1,1,3.5,1832,0.8324235677719116,4
251,0.7510054111480713,0.6508474349975586,141,0.3118644058704376,32,0.2305084764957428,16,0.0576271191239357,1,1,5,693,1,2
163,0.6443884372711182,0.8556700944900513,115,0.561855673789978,2,0.0824742242693901,12,0.10824742168188095,1,1,5,477,1,2
480,0.711112916469574,0.6475771069526672,419,0.5286343693733215,21,0.041116006672382355,5,0.038179147988557816,1,0.9928571581840515,3.75,1173,0.6803069114685059,4
303,0.6281029582023621,0.6106383204460144,263,0.2638297975063324,3,0.10638298094272614,22,0.18936170637607574,1,1,4.666666507720947,1100,1,3
162,0.7846941947937012,0.6985645890235901,131,0.5071770548820496,9,0.11483253538608551,4,0.057416267693042755,0,0.7291666865348816,4,319,1,2
362,0.6779584288597107,0.5879310369491577,260,0.317241370677948,21,0.09482758492231369,49,0.1344827562570572,1,1,3.75,912,0.8936403393745422,5
212,0.5076544284820557,0.4588744640350342,116,0.2792207896709442,10,0.021645022556185722,20,0.14069263637065887,0,0.8129032254219055,5,796,1,2
197,0.6517596244812012,0.7586206793785095,50,0.3896551728248596,99,0.22413793206214905,34,0.08965517580509186,1,1,5,609,1,2
242,0.8384174704551697,0.6813880205154419,148,0.3249211311340332,11,0.18927444517612457,18,0.11356467008590698,1,1,4.75,585,1,4
472,0.4440527558326721,0.5204678177833557,367,0.35438597202301025,29,0.057309940457344055,29,0.050292398780584335,1,0.9542483687400818,4.666666507720947,1854,1,13
289,0.7852026224136353,0.7740963697433472,262,0.6355421543121338,8,0.04216867312788963,4,0.05722891539335251,1,1,4.5,688,0.8880813717842102,7
428,0.6488528251647949,0.7225130796432495,345,0.4363001883029938,22,0.11169284582138062,20,0.1256544440984726,0,0.4399999976158142,3.5,1172,0.27303755283355713,6
730,0.4477561414241791,0.4841449558734894,438,0.185164213180542,214,0.23895809054374695,29,0.03171008080244064,1,0.7333333492279053,3,2963,0.07627404481172562,2
1319,0.6742048263549805,0.6663385629653931,747,0.32283464074134827,307,0.24852362275123596,50,0.044783465564250946,0,0.90625,4.25,3921,1,5
348,1,0.96875,266,0.5026041865348816,32,0.2838541567325592,18,0.0833333358168602,1,0.25999999046325684,4,559,1,2
365,0.7211448550224304,0.6247544288635254,277,0.35166993737220764,38,0.14341846108436584,16,0.10216110199689865,0,0.6413043737411499,4.333333492279053,952,1,3
241,0.7340491414070129,0.7914285659790039,154,0.4114285707473755,0,0.034285712987184525,69,0.25999999046325684,1,1,4.5,634,1,3
140,0.5997572541236877,0.8349999785423279,95,0.49000000953674316,24,0.07000000029802322,11,0.23999999463558197,0,0.12765957415103912,4,412,1,1
116,0.5274490118026733,0.5170731544494629,86,0.3707317113876343,4,0.11219511926174164,13,0.024390242993831635,0,0.5,4.666666507720947,420,1,3
126,0.7206501960754395,0.807947039604187,97,0.6158940196037292,5,0.0794702023267746,19,0.05298013240098953,1,1,5,352,1,1
401,0.6884999871253967,0.6291161179542542,213,0.2876949608325958,12,0.05545927211642265,16,0.25649914145469666,1,1,4.333333492279053,1128,1,5
174,0.30161499977111816,0.5252225399017334,147,0.357566773891449,11,0.06973293423652649,14,0.06973293423652649,1,0.9931034445762634,5,1194,1,4
367,0.5130759477615356,0.5572609305381775,273,0.34592679142951965,8,0.04250295087695122,43,0.14639905095100403,1,0.9823788404464722,5,1478,1,7
386,0.5219781994819641,0.5206043720245361,101,0.22939559817314148,0,0.13324175775051117,194,0.09203296899795532,1,1,5,1536,1,4
756,0.7497954964637756,0.5730336904525757,480,0.2415730357170105,66,0.19261637330055237,74,0.037720706313848495,0,0.6814159154891968,4.599999904632568,1973,0.7567156553268433,5
284,0.6729279160499573,0.6980769038200378,219,0.5192307829856873,5,0.07692307978868484,13,0.05000000074505806,0,1,5,940,1,2
65,0.5885436534881592,0.6395348906517029,50,0.3720930218696594,1,0.06976744532585144,8,0.1627907007932663,0,0,4,244,1,1
631,0.6315997242927551,0.819428563117981,293,0.3337142765522003,25,0.12228571623563766,267,0.32685714960098267,1,0.6875,3.3333332538604736,1824,0.2319078892469406,6
319,1,1,169,0.719298243522644,15,0.1666666716337204,84,0.2763157784938812,1,0.5555555820465088,4.5,514,1,3
57,0.7327823638916016,0.8333333134651184,57,0.8030303120613098,0,0,0,0,1,1,5,132,1,1
387,0.6096150875091553,0.5768024921417236,265,0.3714733421802521,1,0.029780564829707146,92,0.15047021210193634,0,0.7165354490280151,5,1082,1,9
196,0.5025103688240051,0.5670391321182251,160,0.3854748606681824,6,0.03910614550113678,10,0.09776536375284195,1,1,4.5,740,1,6
135,0.5299028754234314,0.5255101919174194,94,0.5,0,0,25,0,1,0.970588207244873,5,437,1,4
222,0.5771810412406921,0.5363408327102661,166,0.36591479182243347,1,0.055137842893600464,28,0.1077694222331047,1,1,4.75,739,1,4
184,0.4742070138454437,0.35543766617774963,152,0.3103448152542114,0,0.018567638471722603,5,0.01326259970664978,1,1,4.75,629,1,4
44,0.7664869427680969,0.843137264251709,40,0.6078431606292725,3,0.1568627506494522,1,0.019607843831181526,1,0.7142857313156128,5,103,1,2
105,0.61719810962677,0.7123287916183472,96,0.664383590221405,0,0.013698630034923553,7,0.013698630034923553,1,0.6341463327407837,5,311,1,5
