"","black","born","district","committee_chair","congress","delegation_size","democrat","died","dwnom1","dwnom2","year_elected","female","freshman","icpsr","latino","les","majority_leader","majority","minority_leader","party_code","seniority","state","subcommittee_chair","name","vote_share","year","aapi"
"1",0,1923,2,0,93,6,0,2012,0.24099999666214,0.12899999320507,1972,0,1,14000,0,0.109570264816284,0,0,0,200,1,"SD",0,"Abdnor, James",55,1973,0
"2",0,1920,20,0,93,39,1,1998,-0.597000002861023,-0.801999986171722,1970,1,0,13001,0,0.762431085109711,0,1,0,100,2,"NY",0,"Abzug, Bella",56,1973,0
"3",0,1927,7,0,93,7,1,2004,-0.395999997854233,-0.127000004053116,1964,0,0,10700,0,1.23647844791412,0,1,0,100,5,"WA",1,"Adams, Brock",85,1973,0
"4",0,1925,7,0,93,39,1,1986,-0.40200001001358,-0.0839999988675117,1960,0,0,10500,0,0.1550522595644,0,1,0,100,7,"NY",1,"Addabbo, Joseph",75,1973,0
"5",0,1908,3,0,93,6,1,2000,-0.391999989748001,0.591000020503998,1946,0,0,62,0,0.00103368179406971,0,1,0,100,14,"OK",0,"Albert, Carl",93,1973,0
"6",0,1934,1,0,93,4,1,NA,-0.409999996423721,0.819000005722046,1968,0,0,12000,0,1.87505054473877,0,1,0,100,3,"AR",1,"Alexander, Bill",100,1973,0
"7",0,1922,16,0,93,24,0,NA,0.18299999833107,-0.554000020027161,1960,0,0,10501,0,0.289430886507034,0,0,1,200,7,"IL",0,"Anderson, John",72,1973,0
"8",0,1913,35,0,93,43,1,1994,-0.268999993801117,-0.0520000010728836,1968,0,0,12001,0,0.446550518274307,0,1,0,100,3,"CA",0,"Anderson, Glenn",75,1973,0
"9",0,1925,4,0,93,11,1,2010,-0.178000003099442,0.481000006198883,1972,0,1,14001,0,0.087862953543663,0,1,0,100,1,"NC",0,"Andrews, Ike",50,1973,0
"10",0,1926,1,0,93,1,0,NA,0.0869999974966049,-0.0240000002086163,1963,0,0,10569,0,0.106469221413136,0,0,0,200,6,"ND",0,"Andrews, Mark",73,1973,0
"11",0,1915,11,0,93,24,1,2001,-0.398000001907349,0.351000010967255,1964,0,0,10703,0,0.627664625644684,0,1,0,100,5,"IL",1,"Annunzio, Frank",53,1973,0
"12",0,1928,7,0,93,24,0,NA,0.495999991893768,0.200000002980232,1970,0,0,13002,0,0.180894315242767,0,0,0,200,2,"TX",0,"Archer, Bill",82,1973,0
"13",0,1895,15,0,93,24,0,1985,0.300999999046326,-0.187000006437302,1934,0,0,226,0,0.015505226328969,0,0,1,200,20,"IL",0,"Arends, Leslie",57,1973,0
"14",0,1937,5,0,93,5,0,2016,0.508000016212463,-0.140000000596046,1972,0,1,14002,0,0.137053623795509,0,0,0,200,1,"CO",0,"Armstrong, William",62,1973,0
"15",0,1928,17,0,93,23,0,1982,0.611999988555908,0.238999992609024,1960,0,0,10502,0,0.171591177582741,0,0,0,200,7,"OH",0,"Ashbrook, John",57,1973,0
"16",0,1923,9,0,93,23,1,2010,-0.349999994039536,-0.0489999987185001,1954,0,0,267,0,3.76312398910522,0,1,0,100,10,"OH",1,"Ashley, Thomas",69,1973,0
"17",0,1938,1,0,93,9,1,1995,-0.319999992847443,-0.125,1970,0,0,13003,0,0.472392559051514,0,1,0,100,2,"WI",0,"Aspin, Les",64,1973,0
"18",0,1929,21,0,93,39,1,2014,-0.598999977111816,-0.616999983787537,1970,0,0,13004,1,0.212938442826271,0,1,0,100,2,"NY",0,"Badillo, Herman",87,1973,0
"19",0,1915,3,0,93,8,0,2003,0.30799999833107,0.36599999666214,1970,0,0,13005,0,0.818845808506012,0,0,0,200,2,"TN",0,"Baker, LaMar",55,1973,0
"20",0,1896,1,0,93,25,1,1976,-0.46900001168251,0.0979999974370003,1948,0,0,465,0,1.6540230512619,0,1,0,100,13,"PA",1,"Barrett, William",66,1973,0
"21",0,1937,1,0,93,8,0,NA,0.532999992370605,-0.11599999666214,1973,0,1,14069,0,0.062020905315876,0,0,0,200,1,"MD",0,"Bauman, Robert",NA,1973,0
"22",0,1939,6,0,93,8,0,2007,0.296999990940094,0.340000003576279,1972,0,1,14004,0,0.0475493595004082,0,0,0,200,1,"TN",0,"Beard, Robin",55,1973,0
"23",0,1914,28,0,93,43,0,2004,0.18299999833107,-0.335999995470047,1960,0,0,10505,0,0.232831671833992,0,0,0,200,7,"CA",0,"Bell, Alphonzo",61,1973,0
"24",0,NA,1,0,93,1,1,NA,NA,NA,1972,0,1,NA,1,0.057886179536581,0,0,0,NA,1,"PR",0,"Benitez, Jamie",NA,1973,0
"25",0,1910,3,0,93,15,1,2003,-0.0879999995231628,0.421000003814697,1948,0,0,633,0,0.726484894752502,0,1,0,100,13,"FL",1,"Bennett, Charles",82,1973,0
"26",0,1928,7,0,93,8,1,NA,-0.379999995231628,0.0209999997168779,1970,0,0,13007,0,0.125075489282608,0,1,0,100,2,"MN",0,"Bergland, Bob",59,1973,0
"27",0,1921,4,0,93,7,1,2005,-0.212999999523163,0.976000010967255,1966,0,0,11000,0,0.176333531737328,0,1,0,100,4,"AL",0,"Bevill, Tom",70,1973,0
