"","name","ICPSR2","presidentialvoteshare.1986","presidentialvoteshare.1990","presidentialvoteshare.1992","presidentialvoteshare.1994","presidentialvoteshare.1996","presidentialvoteshare.1998","presidentialvoteshare.2000","presidentialvoteshare.2002","presidentialvoteshare.2004","presidentialvoteshare.2006","presidentialvoteshare.2008","presidentialvoteshare.2014","presidentialvoteshare.2016","presidentialvoteshare.2018","presidentialvoteshare.1984","presidentialvoteshare.1988","presidentialvoteshare.2010","presidentialvoteshare.2020","presidentialvoteshare.2022","presidentialvoteshare.1980","presidentialvoteshare.1982","presidentialvoteshare.2012","contributions.1986","contributions.1990","contributions.1992","contributions.1994","contributions.1996","contributions.1998","contributions.2000","contributions.2002","contributions.2004","contributions.2006","contributions.2008","contributions.2014","contributions.2016","contributions.2018","contributions.1984","contributions.1988","contributions.2010","contributions.2020","contributions.2022","contributions.1980","contributions.1982","contributions.2012"
"1","abercrombie, neil","15245",45,55,55,55,63,63,59,59,53,53,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227869,574714,370469,371788,682898,1097062,805055,901310,1089528,1074345,1444075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","abraham, ralph lee","21522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,924819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","abraham, ralph lee dr jr","21522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,607693,933200,NA,NA,NA,NA,NA,NA,NA,NA
"4","ackerman, gary l","15000",54,60,60,60,65,65,NA,64,63,63,64,NA,NA,NA,54,60,64,NA,NA,NA,NA,NA,181226,305414,688551,1358352,1175151,858732,NA,706756,728409,754367,1313445,NA,NA,NA,188883,280467,1109041,NA,NA,NA,NA,NA
"5","adams, alma shealey","21545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,71,NA,NA,NA,71,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,928245,589889,NA,NA,NA,841868,957366,NA,NA,NA
"6","adams, sandy","21120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1328778,NA,NA,NA,NA,NA
"7","addabbo, joseph p","10500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,898556,NA,NA,NA,NA,NA,NA,NA
"8","addabbo, joseph p congressman","10500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104420,361634,NA
"9","aderholt, robert b rep","29701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1550531,NA,NA,NA,1283402,1540807,NA,NA,NA
"10","aderholt, robert brown","29701",NA,NA,NA,NA,48,48,40,40,28,28,23,26,26,NA,NA,NA,23,NA,NA,NA,NA,26,NA,NA,NA,NA,779046,1638268,1739251,712483,748910,715803,666975,1175937,1441036,NA,NA,NA,828588,NA,NA,NA,NA,1247169
"11","adler, john h","20928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2883256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","aguilar, pete","21506",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,58,61,NA,NA,NA,60,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2234756,2954536,2768325,NA,NA,NA,2529488,3255093,NA,NA,NA
